Event ID,Date,Peak Time,Peak Hour,Recovery Hour,Recovery Time,Recovery Threshold,Decay Duration (hours),Initial Concentration,Final Concentration,Decay Rate (µg/m³/hour),Decay Rate (µg/m³/minute)
38.0,2026-01-14,2026-01-14 08:30:00,8,11,2026-01-14 11:00:00,94.40852807166607,2.5,183.3946057159958,87.3912820214296,38.40132947782648,0.6400221579637747
40.0,2026-01-15,2026-01-15 08:30:00,8,10,2026-01-15 10:30:00,94.40852807166607,2.0,131.03068950977513,90.79353774246884,20.118575883653143,0.3353095980608857
42.0,2026-01-15,2026-01-15 20:00:00,20,2,2026-01-16 02:00:00,94.40852807166607,6.0,129.20307610484747,90.89047184208903,6.385434043793073,0.10642390072988456
44.0,2026-01-16,2026-01-16 12:00:00,12,13,2026-01-16 13:30:00,94.40852807166607,1.5,110.08529330237192,90.89243875652798,12.795236363895961,0.21325393939826603
46.0,2026-01-17,2026-01-17 09:00:00,9,14,2026-01-17 14:00:00,94.40852807166607,5.0,193.7497980104025,93.07466040498913,20.13502752108267,0.3355837920180445
49.0,2026-01-18,2026-01-18 20:30:00,20,5,2026-01-19 05:00:00,94.40852807166607,8.5,157.13772122497411,89.30894626488086,7.97985587765803,0.13299759796096716
50.0,2026-01-19,2026-01-19 11:00:00,11,12,2026-01-19 12:30:00,94.40852807166607,1.5,161.1947668028146,85.65330692119123,50.360973254415576,0.8393495542402596
51.0,2026-01-19,2026-01-19 21:00:00,21,2,2026-01-20 02:30:00,94.40852807166607,5.5,189.7918582497572,92.87461171518669,17.621317551740095,0.2936886258623349
52.0,2026-01-20,2026-01-20 08:30:00,8,11,2026-01-20 11:00:00,94.40852807166607,2.5,158.76514037521653,89.8040499849443,27.584436156108893,0.4597406026018149
54.0,2026-01-20,2026-01-20 20:30:00,20,0,2026-01-21 00:00:00,94.40852807166607,3.5,182.55189076885088,92.55964106595387,25.712071343684862,0.4285345223947477
57.0,2026-01-21,2026-01-21 21:00:00,21,0,2026-01-22 00:00:00,94.40852807166607,3.0,178.19290275416557,93.14888546209934,28.348005764022076,0.47246676273370125
59.0,2026-01-22,2026-01-22 21:30:00,21,1,2026-01-23 01:00:00,94.40852807166607,3.5,217.18017685374537,88.03907517033579,36.89745762383131,0.6149576270638552
67.0,2026-01-25,2026-01-25 21:00:00,21,0,2026-01-26 00:30:00,94.40852807166607,3.5,137.567309604543,90.01114600362652,13.587475314547564,0.2264579219091261
68.0,2026-01-26,2026-01-26 12:00:00,12,16,2026-01-26 16:30:00,94.40852807166607,4.5,127.14947579818335,92.7325352654515,7.648209007273743,0.12747015012122906
70.0,2026-01-27,2026-01-27 06:00:00,6,12,2026-01-27 12:00:00,94.40852807166607,6.0,124.99530763826156,91.56492703125788,5.57173010116728,0.092862168352788
72.0,2026-01-28,2026-01-28 08:00:00,8,9,2026-01-28 09:30:00,94.40852807166607,1.5,125.90631787524293,91.90016664141797,22.670767489216644,0.3778461248202774
73.0,2026-01-28,2026-01-28 20:30:00,20,23,2026-01-28 23:30:00,94.40852807166607,3.0,137.9874676672541,90.98162210916588,15.668615186029404,0.2611435864338234
74.0,2026-01-29,2026-01-29 09:30:00,9,11,2026-01-29 11:30:00,94.40852807166607,2.0,135.2815269256987,91.1613469838402,22.060089970929248,0.36766816618215414
76.0,2026-01-30,2026-01-30 20:30:00,20,1,2026-01-31 01:00:00,94.40852807166607,4.5,278.08129786990816,90.52139502008899,41.67997841107093,0.6946663068511821
85.0,2026-02-02,2026-02-02 20:30:00,20,22,2026-02-02 22:00:00,94.40852807166607,1.5,189.79469035431097,84.08214873559778,70.47502774580879,1.1745837957634797
86.0,2026-02-03,2026-02-03 09:00:00,9,11,2026-02-03 11:30:00,94.40852807166607,2.5,156.29129881789615,94.29476431810387,24.79861379991691,0.41331022999861516
88.0,2026-02-03,2026-02-03 20:30:00,20,22,2026-02-03 22:30:00,94.40852807166607,2.0,157.09356774975384,92.18058148839691,32.45649313067847,0.5409415521779745
91.0,2026-02-04,2026-02-04 21:00:00,21,22,2026-02-04 22:00:00,94.40852807166607,1.0,192.5774913960796,68.98200658386952,123.59548481221009,2.059924746870168
92.0,2026-02-05,2026-02-05 20:30:00,20,23,2026-02-05 23:00:00,94.40852807166607,2.5,227.46951219512195,93.78947368421052,53.47201540436457,0.8912002567394095
